,PLAYER,POS_CFB,YEAR_RECRUITED,RNK_RECRUITED,STAR,247_SCORE,COLLEGE_CFB,HOME_CITY,HOME_STATE,LAT,LNG,YEAR_DRAFTED,DRAFT_RND,DRAFT_PICK,NFL_TEAM,POS_NFL,COLLEGE_NFL
896,Carl Davis,DT,2010,896,3,0.8559,Iowa,Sterling Heights,MI,42.5803122,-83.0302033,2015,3,90,BAL,DT,Iowa
897,Josh Kaddu,WDE,2008,1607,2,0.7667,Oregon,Vacaville,CA,38.3565773,-121.9877444,2012,5,155,MIA,LB,Oregon
898,DeAndre Smelter,ATH,2010,728,3,0.8622,Georgia Tech,Macon,GA,32.8406946,-83.6324022,2015,4,132,SFO,WR,Georgia Tech
899,Malliciah Goodman,SDE,2009,61,4,0.97,Clemson,Florence,SC,34.1984435,-79.7671658,2013,4,127,ATL,DE,Clemson
900,Dominique Easley,DT,2010,4,5,0.9978,Florida,Staten Island,NY,40.5834557,-74.1496048,2014,1,29,NWE,DT,Florida
901,Sean Mannion,PRO,2010,335,4,0.8907,Oregon State,Pleasanton,CA,37.6624312,-121.8746789,2015,3,89,STL,QB,Oregon State
902,C.J. Wilson,ATH,2008,1343,3,0.8003,N.C. State,Lincolnton,NC,35.473745,-81.2545251,2010,7,230,GNB,DE,East Carolina
903,Isaiah Frey,S,2008,1369,2,0.7941,Nevada,Carmichael,CA,38.62709845,-121.3222422,2012,6,184,CHI,DB,Nevada
904,Danny Trevathan,ILB,2008,1406,2,0.7889,Kentucky,Leesburg,FL,28.810823,-81.8778582,2012,6,188,DEN,LB,Kentucky
905,Calvin Pryor,S,2011,560,3,0.859,Louisville,Port Saint Joe,FL,29.8118757,-85.302974,2014,1,18,NYJ,DB,Louisville
906,Melvin Gordon,RB,2011,251,4,0.8983,Wisconsin,Kenosha,WI,42.5846773,-87.8212263,2015,1,15,SDG,RB,Wisconsin
907,Trae Waynes,CB,2011,1174,3,0.8226,Michigan State,Kenosha,WI,42.5846773,-87.8212263,2015,1,11,MIN,CB,Michigan State
908,Nate Freese,K,2009,1278,3,0.8319,Boston College,Strongsville,OH,41.3144733,-81.83511,2014,7,229,DET,K,Boston College
909,Tyler Higbee,TE,2011,2162,2,0.7443,Western Kentucky,Tarpon Springs,FL,28.1477885,-82.77740867,2016,4,110,LAR,TE,Western Kentucky
910,Tevin Coleman,RB,2012,646,3,0.8686,Indiana,Oak Forest,IL,41.6028116,-87.7439384,2015,3,73,ATL,RB,Indiana
911,Corey Davis,RB,2011,1823,2,0.7667,Pittsburgh,Gladewater,TX,32.5365333,-94.9427169,2017,1,5,TEN,WR,Western Michigan
912,Ryan Nassib,PRO,2008,1652,2,0.7667,Syracuse,Malvern,PA,40.036202,-75.5138959,2013,4,110,NYG,QB,Syracuse
913,Jesse James,TE,2012,663,3,0.8674,Penn State,Mckeesport,PA,40.3478472,-79.864215,2015,5,160,PIT,TE,Penn State
914,Jay Ajayi,RB,2011,669,3,0.8528,Boise State,Frisco,TX,33.1506744,-96.8236116,2015,5,149,MIA,RB,Boise State
915,Andre Debose,WR,2009,15,5,0.9917,Florida,Sanford,FL,28.8117179,-81.2680328,2015,7,221,OAK,WR,Florida
916,Jaylen Watkins,CB,2010,39,4,0.9802,Florida,Cape Coral,FL,26.6059432,-81.9806771,2014,4,101,PHI,DB,Florida
917,Aaron Lynch,SDE,2011,9,5,0.9947,Notre Dame,Cape Coral,FL,26.6059432,-81.9806771,2014,5,150,SFO,DE,South Florida
918,Bryce Petty,PRO,2010,1086,3,0.8505,Baylor,Midlothian,TX,32.482361,-96.9944489,2015,4,103,NYJ,QB,Baylor
919,Michael Campanaro,WR,2009,558,3,0.8701,Wake Forest,Clarksville,MD,39.2065447,-76.9429182,2014,7,218,BAL,WR,Wake Forest
920,Jerome Long,SDE,2008,1889,2,0.7444,San Diego State,Morro Bay,CA,35.3658075,-120.8499013,2012,7,218,KAN,DT,San Diego State
921,Jimmy Garoppolo,PRO,2010,2034,2,0.7889,N/A,Rolling Meadows,IL,42.0841936,-88.0131275,2014,2,62,NWE,QB,Eastern Illinois
922,Mike Catapano,FB,2008,1945,2,0.7444,Princeton,Bayville,NJ,39.9016244,-74.2142753,2013,7,207,KAN,DE,Princeton
923,Darian Thompson,S,2011,1149,3,0.8256,Boise State,Lancaster,CA,34.6981064,-118.1366153,2016,3,71,NYG,S,Boise State
924,Deon Butler,WR,2010,2288,2,0.7667,Central Michigan,Inkster,MI,42.2942045,-83.3099303,2009,3,91,SEA,WR,Penn State
925,Braden Wilson,ILB,2008,1990,2,0.7222,Kansas State,Smith Center,KS,39.779179,-98.785075,2013,6,204,KAN,FB,Kansas State
926,Garrett Grayson,DUAL,2010,952,3,0.8556,Colorado State,Vancouver,WA,45.6306954,-122.6744557,2015,3,75,NOR,QB,Colorado State
927,Leonard Floyd,OLB,2012,140,4,0.9411,Georgia,Eastman,GA,32.1976729,-83.1776514,2016,1,9,CHI,OLB,Georgia
928,Matt Barkley,PRO,2009,1,5,0.9993,USC,Newport Beach,CA,33.6170092,-117.9294401,2013,4,98,PHI,QB,USC
929,Jelani Jenkins,OLB,2009,7,5,0.9971,Florida,Essex,MD,39.3075071,-76.4790355,2013,4,104,MIA,LB,Florida
930,Nico Johnson,ILB,2009,17,5,0.9905,Alabama,Andalusia,AL,31.3085039,-86.4832033,2013,4,99,KAN,LB,Alabama
931,Stephon Gilmore,CB,2009,34,4,0.9812,South Carolina,Rock Hill,SC,34.9248667,-81.0250784,2012,1,10,BUF,DB,South Carolina
932,DeVonte Holloman,S,2009,81,4,0.9621,South Carolina,Rock Hill,SC,34.9248667,-81.0250784,2013,6,185,DAL,LB,South Carolina
933,Jadeveon Clowney,WDE,2011,1,5,1.0,South Carolina,Rock Hill,SC,34.9248667,-81.0250784,2014,1,1,HOU,DE,South Carolina
934,Ronnell Lewis,OLB,2009,37,4,0.9797,Oklahoma,Eufaula,OK,35.2873206,-95.5824846,2012,4,125,DET,LB,Oklahoma
935,Taylor Lewan,OT,2009,160,4,0.9244,Michigan,Paradise Valley,AZ,33.5428006,-111.9556001,2014,1,11,TEN,T,Michigan
936,Wes Schweitzer,OT,2011,2536,2,0.7333,San Jose State,Paradise Valley,AZ,33.5428006,-111.9556001,2016,6,195,ATL,G,San Jose State
937,David Wilson,RB,2009,90,4,0.9585,Virginia Tech,Danville,VA,36.5859718,-79.3950228,2012,1,32,NYG,RB,Virginia Tech
938,Edwin Baker,RB,2009,95,4,0.9554,Michigan State,Oak Park,MI,42.4594803,-83.1827051,2012,7,250,SDG,RB,Michigan State
939,Nick Kasa,SDE,2009,103,4,0.9526,Colorado,Broomfield,CO,39.9379892,-105.0587294,2013,6,172,OAK,TE,Colorado
940,Jarvis Harrison,OG,2010,2278,2,0.7667,Texas A&M,Navasota,TX,30.3874135,-96.0875066,2015,5,152,NYJ,G,Texas A&M
941,Zach Mettenberger,PRO,2009,122,4,0.9426,Georgia,Watkinsville,GA,33.8628959,-83.4087709,2014,6,178,TEN,QB,LSU
942,Arthur Lynch,TE,2009,148,4,0.93,Georgia,North Dartmouth,MA,41.6389926,-70.9703171,2014,5,155,MIA,TE,Georgia
943,Zeke Motta,OLB,2009,149,4,0.9295,Notre Dame,Vero Beach,FL,27.6387163,-80.3975399,2013,7,244,ATL,DB,Notre Dame
944,Bryan Stork,OC,2009,737,3,0.859,Florida State,Vero Beach,FL,27.6387163,-80.3975399,2014,4,105,NWE,C,Florida State
945,Jordan Reed,TE,2009,155,4,0.9266,Florida,New London,CT,41.3556539,-72.0995209,2013,3,85,WAS,TE,Florida
946,Kenny Vaccaro,S,2009,254,4,0.9018,Texas,Brownwood,TX,32.2618398,-98.55528872,2013,1,15,NOR,DB,Texas
947,Josh Boyd,DT,2009,173,4,0.9209,Mississippi State,Philadelphia,MS,32.7703841,-89.1153488,2013,5,167,GNB,DE,Mississippi State
948,Brennan Williams,OT,2009,178,4,0.92,North Carolina,West Roxbury,MA,42.2792649,-71.1494972,2013,3,89,HOU,OL,North Carolina
949,Michael Schofield,OT,2009,225,4,0.9089,Michigan,Orland Park,IL,41.6303103,-87.8539425,2014,3,95,DEN,OL,Michigan
950,Dan Feeney,OT,2012,957,3,0.8443,Indiana,Orland Park,IL,41.6303103,-87.8539425,2017,3,71,LAC,G,Indiana
951,Kevin Norwood,WR,2009,240,4,0.9051,Alabama,Biloxi,MS,30.3960318,-88.8853645,2014,4,123,SEA,WR,Alabama
952,Brandon Allen,PRO,2011,354,3,0.8766,Arkansas,Fayetteville,AR,36.0625843,-94.1574328,2016,6,201,JAX,QB,Arkansas
953,Logan Ryan,CB,2009,298,4,0.8938,Rutgers,Voorhees,NJ,39.841635,-74.93768541,2013,3,83,NWE,DB,Rutgers
